nom site,indicator,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
Beaulieu,0.0054794520547945,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07051,Périurbaine,PM10,Industrielle,Oui,mesures indicatives,Moy. journalière,20.0,19.7125,µg-m3,67.0,100,67.0,N,-1,45.769,3.155
Bourg-en-Bresse,0.3452054794520548,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR33305,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,71.3,71.275,µg-m3,100.0,100,100.0,A,1,46.211666,5.226389
Bourgoin-Jallieu,0.2191780821917808,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR27007,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,72.9,72.9,µg-m3,100.0,100,100.0,R,1,45.60822,5.270872
CHAMBERY LE HAUT,0.2403314917127071,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33102,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,61.8,61.8,µg-m3,100.0,100,100.0,R,1,45.59667,5.918611
CHAMONIX,0.1753424657534246,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR03,ZAR VALLEE-DE-L-ARVE,FR33120,Urbaine,PM10,Fond,Oui,mesures indicatives,Moy. journalière,39.0,39.1208333333,µg-m3,100.0,100,100.0,A,1,45.9225,6.87
COTIERE AIN,0.2931506849315068,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR20047,Périurbaine,PM10,Fond,Oui,mesures indicatives,Moy. journalière,23.0,23.4333333333,µg-m3,100.0,100,100.0,A,1,45.823223,4.953958
Chamalières Europe,0.0,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07039,Urbaine,PM10,Trafic,Oui,mesures indicatives,Moy. journalière,10.0,10.0791666667,µg-m3,100.0,100,100.0,A,1,45.774728,3.062978
Chambéry Trafic,0.0359116022099447,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33105,Urbaine,PM10,Trafic,Oui,mesures indicatives,Moy. journalière,16.0,16.0583333333,µg-m3,100.0,100,100.0,R,1,45.56943,5.932986
Champ sur Drac,0.2767123287671232,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG02,ZAG GRENOBLE,FR15013,Périurbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,69.4,69.425,µg-m3,100.0,100,100.0,A,1,45.07954,5.728653
Clermont-Esplanade Gare,0.0852272727272727,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07034,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,15.0,14.5041666667,µg-m3,100.0,100,100.0,A,1,45.775696,3.09625
Drôme Rurale Sud-SND,0.2417582417582417,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR36021,Rurale nationale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,69.4,69.425,µg-m3,100.0,100,100.0,A,1,44.569443,5.278972
Edouard Michelin,0.0602739726027397,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07053,Urbaine,NO2,Trafic,Oui,mesures indicatives,Max. journalier moy. hor.,10.8,10.775,µg-m3,100.0,100,100.0,A,1,45.780434,3.111592
FEYZIN STADE,0.0493150684931506,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR20029,Périurbaine,PM10,Industrielle,Oui,mesures indicatives,Moy. journalière,28.0,27.9583333333,µg-m3,100.0,100,100.0,A,1,45.6639,4.8459
