nom site,SOMO35 Subscore_x,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
PASTEUR,4923.2,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33101,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,17.7,17.725,µg-m3,100.0,100,100.0,A,1,45.56472,5.928333
Paray le Fresil,6129.5,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07022,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,68.3,68.3,µg-m3,100.0,100,100.0,A,1,46.652668,3.600667
Pays du Mezenc,7497.8,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07056,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.8,71.8,µg-m3,96.0,100,96.0,A,1,44.98377,4.226006
Plateau de Bonnevaux,8811.6,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR27010,Rurale près des villes,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,76.8,76.775,µg-m3,100.0,100,100.0,R,1,45.4609,5.181081
ROANNE,5312.2,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR29423,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,58.8,58.825,µg-m3,100.0,100,100.0,A,1,46.04111,4.074656
ROCHES DE CONDRIEU,8036.7,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR27003,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,72.5,72.45,µg-m3,100.0,100,100.0,A,1,45.454517,4.766528
ROUSSILLON,6902.9,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR02,ZAR VALLEE-DU-RHONE,FR27002,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,72.3,72.325,µg-m3,100.0,100,100.0,A,1,45.36782,4.805147
Rageade,7421.9,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07031,Rurale régionale,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,80.5,80.475,µg-m3,100.0,100,100.0,A,1,45.10472,3.277361
Riom Périurbaine,6821.2,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07061,Périurbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,60.3,60.325,µg-m3,100.0,100,100.0,A,1,45.89674,3.122254
Romans-sur-Isère,6706.9,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR02,ZAR VALLEE-DU-RHONE,FR36019,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,62.0,61.95,µg-m3,100.0,100,100.0,A,1,45.0425,5.0443
Royat Périurbaine,7334.8,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07060,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,80.4,80.35,µg-m3,100.0,100,100.0,R,1,45.764111,3.046111
SAINT ETIENNE SUD,6317.0,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG03,ZAG SAINT-ETIENNE,FR29424,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,68.8,68.8,µg-m3,100.0,100,100.0,A,1,45.42009,4.395422
SAINT EXUPERY,6766.7,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR20048,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,70.9,70.925,µg-m3,100.0,100,100.0,A,1,45.7533,5.0722
SAINT JEAN,6673.1,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR33111,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,59.4,59.35,µg-m3,100.0,100,100.0,A,1,45.274723,6.349722
SAINT-CHAMOND,7566.4,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG03,ZAG SAINT-ETIENNE,FR29426,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,74.1,74.1,µg-m3,100.0,100,100.0,R,1,45.475327,4.515003
Sablons,7586.6,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR02,ZAR VALLEE-DU-RHONE,FR27005,Périurbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,72.6,72.6,µg-m3,100.0,100,100.0,A,1,45.321845,4.770702
St Germain/Rhône,6053.2,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR33302,Rurale près des villes,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,55.6,55.625,µg-m3,100.0,100,100.0,A,1,46.072224,5.820833
St Martin d'Heres,4412.0,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG02,ZAG GRENOBLE,FR15038,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,74.6,74.575,µg-m3,100.0,100,100.0,A,1,45.1828,5.7531
TERNAY,7687.6,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR20037,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,76.1,76.05,µg-m3,100.0,100,100.0,A,1,45.6019,4.8022
VAULX EN VELIN,5970.0,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG01,ZAG LYON,FR20046,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,71.4,71.4,µg-m3,100.0,100,100.0,A,1,45.7789,4.9247
Valence Périurb. Sud,7516.7,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR02,ZAR VALLEE-DU-RHONE,FR36001,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,61.0,60.95,µg-m3,100.0,100,100.0,R,1,44.870243,4.876289
Valence Urb. Centre,2484.3,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR02,ZAR VALLEE-DU-RHONE,FR36002,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,40.4,40.35,µg-m3,8.0,100,8.0,N,-1,44.933514,4.893481
